Fabricante;Modelo;Categoria;Cód.;Combustivel;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
AUDI;AUDI RS6 4.2;TABELA A – CARROS;106061,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 76.687,00;
AUDI;AUDI S4 4.2;TABELA A – CARROS;106062,00;G;;;;;;;;;;;;;;;;;;;;R$ 120.487,00;;R$ 109.743,00;R$ 93.202,00;R$ 82.991,00;
AUDI;AUDI S4 AVANT 4.2;TABELA A – CARROS;106063,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 121.448,00;R$ 115.305,00;R$ 96.239,00;
AUDI;AUDI RS6 AVANT 4.2;TABELA A – CARROS;106064,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 93.051,00;
AUDI;AUDI A8 6.0 L;TABELA A – CARROS;106067,00;G;;;;;;;;;;;;;;;;;;;R$ 243.602,00;;R$ 220.436,00;R$ 206.926,00;;;
AUDI;AUDI A4 2.0T FSI;TABELA A – CARROS;106070,00;G;;;;;;;;;;;;;;;;;;;;;R$ 37.590,00;;;;
AUDI;AUDI A4 AVANT 2.0;TABELA A – CARROS;106055,00;G;;;;;;;;;;;;;;;;;R$ 68.751,00;;;;;;;;
AUDI;AUDI TT COUPE 180PS;TABELA A – CARROS;106028,00;G;;;;;;;;;;;;;;;;;;;;;;R$ 70.298,00;R$ 66.123,00;R$ 63.321,00;R$ 60.176,00
AUDI;AUDI A1 1.4TFSI SP;TABELA A – CARROS;106153,00;G;;;;;;;;;;;;;;R$ 65.218,00;R$ 60.903,00;;;;;;;;;;
AUDI;AUDI A4;TABELA A – CARROS;106011,00;G;;;;;;;;;;;;R$ 99.802,00;;R$ 89.122,00;;;;;R$ 52.969,00;R$ 47.164,00;;;;;
AUDI;AUDI TT TRONIC FWD;TABELA A – CARROS;106119,00;G;;;;;;;;;;;;;;;;;;;R$ 91.679,00;;;;;;
AUDI;AUDI A4 2.4;TABELA A – CARROS;106018,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 30.544,00;R$ 28.642,00
AUDI;AUDI A4 AVANT 2.4;TABELA A – CARROS;106019,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 32.147,00;R$ 30.121,00
AUDI;AUDI A6 2.4;TABELA A – CARROS;106020,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 38.890,00
AUDI;AUDI A6 2.8;TABELA A – CARROS;106025,00;G;;;;;;;;;;;;;;R$ 188.192,00;;;;;;;;;;;
AUDI;AUDI S6 4.2;TABELA A – CARROS;106045,00;G;;;;;;;;;;;;;;;;;;;;;;;;;R$ 53.737,00
AUDI;AUDI S3 1.8T;TABELA A – CARROS;106027,00;G;;;;;;;;;;;;;;;;;;;;;;;;R$ 42.386,00;R$ 38.728,00
AUDI;AUDI S6;TABELA A – CARROS;106012,00;G;;;;;;;;;;;;;;;;;;;R$ 188.166,00;;;;;;
AUDI;AUDI TT COUPE 225PS;TABELA A – CARROS;106029,00;G;;;;;;;;;;;;;;;;;;;R$ 86.364,00;R$ 81.482,00;R$ 76.877,00;R$ 72.534,00;R$ 68.120,00;R$ 65.156,00;R$ 64.152,00
AUDI;AUDI TT ROADSTER 225PS;TABELA A – CARROS;106031,00;G;;;;;;;;;;;;;;;;;;;;;R$ 77.989,00;R$ 73.560,00;R$ 69.239,00;R$ 62.630,00;R$ 62.079,00
AUDI;AUDI A8 4.2;TABELA A – CARROS;106032,00;G;;;;;;;;;;;;;;;;R$ 213.126,00;;;;;R$ 131.629,00;R$ 125.239,00;;R$ 95.347,00;R$ 63.201,00
AUDI;AUDI A4 1.8T;TABELA A – CARROS;106035,00;G;;;;;;;;;;;;;;;;;;;;R$ 38.502,00;R$ 32.995,00;R$ 29.805,00;R$ 27.152,00;R$ 25.427,00;R$ 24.258,00
AUDI;AUDI A4 1.8;TABELA A – CARROS;106037,00;G;;;;;;;;;;;;R$ 94.135,00;;;;;;;;;;;;;
AUDI;AUDI A6 2.7T;TABELA A – CARROS;106038,00;G;;;;;;;;;;;;;;;;;;;;;;;R$ 40.217,00;R$ 36.858,00;R$ 34.217,00
AUDI;AUDI A4 AVANT 1.8T;TABELA A – CARROS;106040,00;G;;;;;;;;;;;;;;;;;;;R$ 47.967,00;R$ 46.459,00;R$ 39.467,00;R$ 35.089,00;R$ 27.929,00;R$ 25.962,00;R$ 24.676,00
AUDI;AUDI A3 1.6;TABELA A – CARROS;106026,00;G;;;;;;;;;;;;;;;;;;;;R$ 33.395,00;R$ 31.754,00;;;;
AUDI;AUDI TT RD 2.0T 200HP;TABELA A – CARROS;106109,00;G;;;;;;;;;;;;;;;;;R$ 115.897,00;R$ 101.216,00;R$ 97.600,00;R$ 88.514,00;;;;;
AUDI;AUDI A6 3.0T FSI;TABELA A – CARROS;106097,00;G;;;;;;;;;;;;R$ 227.094,00;R$ 215.529,00;R$ 179.498,00;R$ 173.346,00;R$ 140.583,00;R$ 120.364,00;R$ 105.263,00;;;;;;;
AUDI;AUDI TT COUPE 2.0;TABELA A – CARROS;106098,00;G;;;;;;;;;;;;;;;;;;R$ 89.473,00;;;;;;;
AUDI;A3 1.8;TABELA A – CARROS;106101,00;G;;;;;;;;;;;;;;;;;;;;;R$ 21.785,00;R$ 19.959,00;R$ 18.066,00;R$ 16.551,00;R$ 15.525,00
AUDI;A3 1.8T;TABELA A – CARROS;106102,00;G;;;;;;;;;;;;;;;;;;;;;R$ 22.677,00;R$ 20.506,00;R$ 18.958,00;R$ 16.821,00;R$ 15.651,00
AUDI;A3 1.6;TABELA A – CARROS;106103,00;G;;;;;;;;;;;;;;;;;;;;;R$ 21.822,00;R$ 20.133,00;R$ 18.712,00;R$ 17.242,00;R$ 16.922,00
AUDI;AUDI S6 5.2 FSI;TABELA A – CARROS;106104,00;G;;;;;;;;;;;;;;;;;R$ 198.906,00;R$ 184.530,00;;;;;;;
AUDI;AUDI A8 4.2 FSI;TABELA A – CARROS;106105,00;G;;;;;;;;;;;;;;R$ 371.032,00;R$ 349.402,00;R$ 230.747,00;R$ 230.203,00;;;;;;;;
AUDI;AUDI A3 TRONIC FWD;TABELA A – CARROS;106096,00;G;;;;;;;;;;;;;;;;;;;R$ 41.371,00;;;;;;
AUDI;AUDI S8 5.2 FSI;TABELA A – CARROS;106107,00;G;;;;;;;;;;;;;;;;;;;R$ 264.565,00;;R$ 241.760,00;;;;
AUDI;AUDI TT 2.0T;TABELA A – CARROS;106117,00;G;;;;;;;;;;;;;;;;R$ 116.294,00;;R$ 88.927,00;R$ 85.677,00;;;;;;
AUDI;AUDI TT CP 2.0T 200HP;TABELA A – CARROS;106111,00;G;;;;;;;;;;;;;;;;;R$ 98.653,00;R$ 88.037,00;R$ 84.723,00;R$ 78.777,00;;;;;
